#=========================================================================
#  COLUMN LABELS: SMaxis   rp   ecc   inc   Tiss   indexRun
#  Units: km,rad,s
#=========================================================================
    1.013565E+10     7.484456E+08     9.261571E-01     2.073610E-01       2.752460  205
    9.698146E+09     7.475855E+08     9.229146E-01     2.075079E-01       2.752062  206
    9.260987E+09     7.466689E+08     9.193748E-01     2.076638E-01       2.751675  207
    8.823382E+09     7.456958E+08     9.154864E-01     2.078190E-01       2.751325  208
    8.397051E+09     7.446656E+08     9.113182E-01     2.079853E-01       2.750984  209
    7.979371E+09     7.435776E+08     9.068125E-01     2.081518E-01       2.750677  210
    7.578330E+09     7.424316E+08     9.020323E-01     2.083288E-01       2.750381  211
    7.191347E+09     7.412272E+08     8.969279E-01     2.085060E-01       2.750119  212
    6.823602E+09     7.399637E+08     8.915582E-01     2.086939E-01       2.749868  213
    6.471945E+09     7.386405E+08     8.858704E-01     2.088816E-01       2.749652  214
    6.140035E+09     7.372567E+08     8.799263E-01     2.090796E-01       2.749448  215
    5.825141E+09     7.358126E+08     8.736833E-01     2.092784E-01       2.749279  216
    5.529098E+09     7.343062E+08     8.671924E-01     2.094868E-01       2.749121  217
    5.250481E+09     7.327372E+08     8.604438E-01     2.097016E-01       2.748985  218
    4.987877E+09     7.311051E+08     8.534236E-01     2.099190E-01       2.748878  219
    4.741621E+09     7.294088E+08     8.461689E-01     2.101445E-01       2.748789  220
    4.509929E+09     7.276478E+08     8.386565E-01     2.103720E-01       2.748731  221
    4.292903E+09     7.258205E+08     8.309255E-01     2.106083E-01       2.748689  222
    4.089007E+09     7.239260E+08     8.229580E-01     2.108479E-01       2.748675  223
    3.898050E+09     7.219633E+08     8.147886E-01     2.110961E-01       2.748678  224
    3.718589E+09     7.199315E+08     8.063966E-01     2.113464E-01       2.748712  225
    3.550390E+09     7.178288E+08     7.978169E-01     2.116051E-01       2.748762  226
    3.392609E+09     7.156540E+08     7.890550E-01     2.118710E-01       2.748833  227
    3.244361E+09     7.134060E+08     7.801089E-01     2.121416E-01       2.748929  228
    3.104862E+09     7.110838E+08     7.709773E-01     2.124143E-01       2.749056  229
    2.973993E+09     7.086843E+08     7.617061E-01     2.126974E-01       2.749196  230
    2.850717E+09     7.062075E+08     7.522702E-01     2.129821E-01       2.749369  231
    2.735055E+09     7.036495E+08     7.427293E-01     2.132802E-01       2.749545  232
    2.625790E+09     7.010113E+08     7.330284E-01     2.135759E-01       2.749765  233
    2.522977E+09     6.982888E+08     7.232282E-01     2.138814E-01       2.749998  234
    2.426013E+09     6.954808E+08     7.133235E-01     2.141918E-01       2.750255  235
    2.334565E+09     6.925842E+08     7.033348E-01     2.145095E-01       2.750532  236
    2.248166E+09     6.895982E+08     6.932619E-01     2.148317E-01       2.750835  237
    2.166597E+09     6.865189E+08     6.831349E-01     2.151620E-01       2.751156  238
    2.089441E+09     6.833445E+08     6.729535E-01     2.154970E-01       2.751500  239
    2.016427E+09     6.800728E+08     6.627337E-01     2.158370E-01       2.751870  240
